0:00.000,-0.127
0:00.003,-0.162
0:00.007,-0.197
0:00.010,-0.229
0:00.013,-0.245
0:00.017,-0.254
0:00.020,-0.261
0:00.023,-0.265
0:00.027,-0.268
0:00.030,-0.268
0:00.033,-0.267
0:00.037,-0.265
0:00.040,-0.263
0:00.043,-0.260
0:00.047,-0.256
0:00.050,-0.253
0:00.053,-0.249
0:00.057,-0.247
0:00.060,-0.245
0:00.063,-0.243
0:00.067,-0.241
0:00.070,-0.238
0:00.073,-0.236
0:00.077,-0.234
0:00.080,-0.232
0:00.083,-0.231
0:00.087,-0.230
0:00.090,-0.229
0:00.093,-0.229
0:00.097,-0.229
0:00.100,-0.229
0:00.103,-0.230
0:00.107,-0.230
0:00.110,-0.230
0:00.113,-0.229
0:00.117,-0.229
0:00.120,-0.227
0:00.123,-0.225
0:00.127,-0.221
0:00.130,-0.218
0:00.133,-0.215
0:00.137,-0.213
0:00.140,-0.213
0:00.143,-0.213
0:00.147,-0.212
0:00.150,-0.211
0:00.153,-0.210
0:00.157,-0.209
0:00.160,-0.206
0:00.163,-0.203
0:00.167,-0.201
0:00.170,-0.198
0:00.173,-0.198
0:00.177,-0.200
0:00.180,-0.204
0:00.183,-0.210
0:00.187,-0.216
0:00.190,-0.224
0:00.193,-0.233
0:00.197,-0.243
0:00.200,-0.253
0:00.203,-0.262
0:00.207,-0.270
0:00.210,-0.275
0:00.213,-0.281
0:00.217,-0.286
0:00.220,-0.291
0:00.223,-0.292
0:00.227,-0.289
0:00.230,-0.282
0:00.233,-0.273
0:00.237,-0.264
0:00.240,-0.259
0:00.243,-0.255
0:00.247,-0.250
0:00.250,-0.246
0:00.253,-0.241
0:00.257,-0.237
0:00.260,-0.233
0:00.263,-0.229
0:00.267,-0.226
0:00.270,-0.222
0:00.273,-0.219
0:00.277,-0.216
0:00.280,-0.213
0:00.283,-0.209
0:00.287,-0.204
0:00.290,-0.195
0:00.293,-0.187
0:00.297,-0.179
0:00.300,-0.172
0:00.303,-0.169
0:00.307,-0.166
0:00.310,-0.164
0:00.313,-0.161
0:00.317,-0.159
0:00.320,-0.157
0:00.323,-0.156
0:00.327,-0.154
0:00.330,-0.153
0:00.333,-0.153
0:00.337,-0.154
0:00.340,-0.155
0:00.343,-0.157
0:00.347,-0.159
0:00.350,-0.160
0:00.353,-0.162
0:00.357,-0.164
0:00.360,-0.166
0:00.363,-0.167
0:00.367,-0.169
0:00.370,-0.170
0:00.373,-0.171
0:00.377,-0.174
0:00.380,-0.177
0:00.383,-0.177
0:00.387,-0.171
0:00.390,-0.158
0:00.393,-0.121
0:00.397,-0.066
0:00.400,0.011
0:00.403,0.109
0:00.407,0.219
0:00.410,0.331
0:00.413,0.434
0:00.417,0.519
0:00.420,0.575
0:00.423,0.593
0:00.427,0.578
0:00.430,0.533
0:00.433,0.440
0:00.437,0.329
0:00.440,0.213
0:00.443,0.099
0:00.447,-0.003
0:00.450,-0.088
0:00.453,-0.153
0:00.457,-0.189
0:00.460,-0.210
0:00.463,-0.222
0:00.467,-0.230
0:00.470,-0.237
0:00.473,-0.243
0:00.477,-0.248
0:00.480,-0.253
0:00.483,-0.256
0:00.487,-0.260
0:00.490,-0.263
0:00.493,-0.266
0:00.497,-0.267
0:00.500,-0.266
0:00.503,-0.264
0:00.507,-0.259
0:00.510,-0.254
0:00.513,-0.249
0:00.517,-0.244
0:00.520,-0.238
0:00.523,-0.231
0:00.527,-0.224
0:00.530,-0.216
0:00.533,-0.207
0:00.537,-0.199
0:00.540,-0.191
0:00.543,-0.183
0:00.547,-0.176
0:00.550,-0.170
0:00.553,-0.164
0:00.557,-0.159
0:00.560,-0.155
0:00.563,-0.150
0:00.567,-0.143
0:00.570,-0.137
0:00.573,-0.129
0:00.577,-0.122
0:00.580,-0.114
0:00.583,-0.104
0:00.587,-0.092
0:00.590,-0.077
0:00.593,-0.064
0:00.597,-0.052
0:00.600,-0.039
0:00.603,-0.027
0:00.607,-0.014
0:00.610,-0.001
0:00.613,0.009
0:00.617,0.018
0:00.620,0.026
0:00.623,0.034
0:00.627,0.042
0:00.630,0.049
0:00.633,0.053
0:00.637,0.056
0:00.640,0.058
0:00.643,0.061
0:00.647,0.064
0:00.650,0.067
0:00.653,0.070
0:00.657,0.072
0:00.660,0.073
0:00.663,0.073
0:00.667,0.073
0:00.670,0.072
0:00.673,0.071
0:00.677,0.069
0:00.680,0.066
0:00.683,0.062
0:00.687,0.058
0:00.690,0.053
0:00.693,0.049
0:00.697,0.045
0:00.700,0.039
0:00.703,0.030
0:00.707,0.021
0:00.710,0.014
0:00.713,0.007
0:00.717,0.000
0:00.720,-0.007
0:00.723,-0.013
0:00.727,-0.014
0:00.730,-0.010
0:00.733,-0.004
0:00.737,0.000
0:00.740,0.002
0:00.743,0.005
0:00.747,0.007
0:00.750,0.010
0:00.753,0.014
0:00.757,0.018
0:00.760,0.022
0:00.763,0.025
0:00.767,0.028
0:00.770,0.030
0:00.773,0.031
0:00.777,0.032
0:00.780,0.033
0:00.783,0.035
0:00.787,0.037
0:00.790,0.039
0:00.793,0.041
0:00.797,0.042
0:00.800,0.043
0:00.803,0.045
0:00.807,0.047
0:00.810,0.049
0:00.813,0.052
0:00.817,0.054
0:00.820,0.056
0:00.823,0.059
0:00.827,0.061
0:00.830,0.065
0:00.833,0.068
0:00.837,0.073
0:00.840,0.078
0:00.843,0.087
0:00.847,0.096
0:00.850,0.103
0:00.853,0.106
0:00.857,0.107
0:00.860,0.109
0:00.863,0.110
0:00.867,0.111
0:00.870,0.112
0:00.873,0.113
0:00.877,0.113
0:00.880,0.112
0:00.883,0.111
0:00.887,0.110
0:00.890,0.110
0:00.893,0.109
0:00.897,0.110
0:00.900,0.110
0:00.903,0.110
0:00.907,0.110
0:00.910,0.111
0:00.913,0.112
0:00.917,0.114
0:00.920,0.115
0:00.923,0.117
0:00.927,0.118
0:00.930,0.119
0:00.933,0.121
0:00.937,0.122
0:00.940,0.124
0:00.943,0.126
0:00.947,0.129
0:00.950,0.132
0:00.953,0.136
0:00.957,0.140
0:00.960,0.144
0:00.963,0.148
0:00.967,0.155
0:00.970,0.163
0:00.973,0.167
0:00.977,0.169
0:00.980,0.170
0:00.983,0.171
0:00.987,0.172
0:00.990,0.174
0:00.993,0.176
0:00.997,0.178
0:01.000,0.180
0:01.003,0.182
0:01.007,0.185
0:01.010,0.188
0:01.013,0.192
0:01.017,0.195
0:01.020,0.198
0:01.023,0.201
0:01.027,0.204
0:01.030,0.208
0:01.033,0.212
0:01.037,0.214
0:01.040,0.212
0:01.043,0.208
0:01.047,0.203
0:01.050,0.198
0:01.053,0.194
0:01.057,0.190
0:01.060,0.186
0:01.063,0.182
0:01.067,0.177
0:01.070,0.174
0:01.073,0.171
0:01.077,0.170
0:01.080,0.170
0:01.083,0.171
0:01.087,0.172
0:01.090,0.175
0:01.093,0.179
0:01.097,0.183
0:01.100,0.189
0:01.103,0.195
0:01.107,0.208
0:01.110,0.239
0:01.113,0.302
0:01.117,0.377
0:01.120,0.461
0:01.123,0.547
0:01.127,0.634
0:01.130,0.722
0:01.133,0.803
0:01.137,0.849
0:01.140,0.865
0:01.143,0.845
0:01.147,0.786
0:01.150,0.694
0:01.153,0.593
0:01.157,0.495
0:01.160,0.401
0:01.163,0.310
0:01.167,0.225
0:01.170,0.151
0:01.173,0.113
0:01.177,0.103
0:01.180,0.095
0:01.183,0.091
0:01.187,0.088
0:01.190,0.087
0:01.193,0.087
0:01.197,0.088
0:01.200,0.091
0:01.203,0.094
0:01.207,0.098
0:01.210,0.103
0:01.213,0.108
0:01.217,0.111
0:01.220,0.114
0:01.223,0.117
0:01.227,0.119
0:01.230,0.122
0:01.233,0.125
0:01.237,0.128
0:01.240,0.132
0:01.243,0.135
0:01.247,0.137
0:01.250,0.139
0:01.253,0.141
0:01.257,0.143
0:01.260,0.145
0:01.263,0.147
0:01.267,0.150
0:01.270,0.154
0:01.273,0.157
0:01.277,0.161
0:01.280,0.166
0:01.283,0.171
0:01.287,0.176
0:01.290,0.180
0:01.293,0.182
0:01.297,0.184
0:01.300,0.184
0:01.303,0.183
0:01.307,0.181
0:01.310,0.179
0:01.313,0.176
0:01.317,0.172
0:01.320,0.167
0:01.323,0.161
0:01.327,0.152
0:01.330,0.133
0:01.333,0.118
0:01.337,0.109
0:01.340,0.104
0:01.343,0.099
0:01.347,0.096
0:01.350,0.092
0:01.353,0.088
0:01.357,0.083
0:01.360,0.079
0:01.363,0.075
0:01.367,0.071
0:01.370,0.066
0:01.373,0.061
0:01.377,0.053
0:01.380,0.045
0:01.383,0.037
0:01.387,0.030
0:01.390,0.022
0:01.393,0.005
0:01.397,-0.022
0:01.400,-0.051
0:01.403,-0.077
0:01.407,-0.100
0:01.410,-0.125
0:01.413,-0.150
0:01.417,-0.178
0:01.420,-0.200
0:01.423,-0.214
0:01.427,-0.228
0:01.430,-0.242
0:01.433,-0.250
0:01.437,-0.254
0:01.440,-0.257
0:01.443,-0.259
0:01.447,-0.261
0:01.450,-0.264
0:01.453,-0.267
0:01.457,-0.270
0:01.460,-0.272
0:01.463,-0.274
0:01.467,-0.276
0:01.470,-0.278
0:01.473,-0.280
0:01.477,-0.283
0:01.480,-0.286
0:01.483,-0.292
0:01.487,-0.308
0:01.490,-0.323
0:01.493,-0.335
0:01.497,-0.344
0:01.500,-0.352
0:01.503,-0.364
0:01.507,-0.376
0:01.510,-0.388
0:01.513,-0.400
0:01.517,-0.412
0:01.520,-0.421
0:01.523,-0.430
0:01.527,-0.448
0:01.530,-0.475
0:01.533,-0.502
0:01.537,-0.526
0:01.540,-0.547
0:01.543,-0.570
0:01.547,-0.592
0:01.550,-0.618
0:01.553,-0.648
0:01.557,-0.680
0:01.560,-0.709
0:01.563,-0.729
0:01.567,-0.738
0:01.570,-0.745
0:01.573,-0.751
0:01.577,-0.754
0:01.580,-0.748
0:01.583,-0.736
0:01.587,-0.716
0:01.590,-0.689
0:01.593,-0.670
0:01.597,-0.658
0:01.600,-0.645
0:01.603,-0.632
0:01.607,-0.616
0:01.610,-0.597
0:01.613,-0.582
0:01.617,-0.568
0:01.620,-0.554
0:01.623,-0.535
0:01.627,-0.515
0:01.630,-0.496
0:01.633,-0.481
0:01.637,-0.472
0:01.640,-0.467
0:01.643,-0.464
0:01.647,-0.460
0:01.650,-0.457
0:01.653,-0.452
0:01.657,-0.447
0:01.660,-0.442
0:01.663,-0.435
0:01.667,-0.426
0:01.670,-0.412
0:01.673,-0.389
0:01.677,-0.376
0:01.680,-0.360
0:01.683,-0.337
0:01.687,-0.314
0:01.690,-0.289
0:01.693,-0.274
0:01.697,-0.267
0:01.700,-0.261
0:01.703,-0.256
0:01.707,-0.250
0:01.710,-0.245
0:01.713,-0.239
0:01.717,-0.233
0:01.720,-0.227
0:01.723,-0.221
0:01.727,-0.212
0:01.730,-0.202
0:01.733,-0.190
0:01.737,-0.172
0:01.740,-0.148
0:01.743,-0.130
0:01.747,-0.116
0:01.750,-0.104
0:01.753,-0.092
0:01.757,-0.078
0:01.760,-0.068
